"nombre_pelicula";"director";"id_actor";"salario"
Open-architected coherent implementation;Michael Tucker;1417;77513.96
Innovative background neural-net;Joseph Sanchez;1046;69590.12
Monitored 5thgeneration utilization;Mary Ray;1350;92145.73
Reduced transitional ability;Eric Blackburn;1055;38751.2
Focused dynamic orchestration;Samantha Cardenas;1295;43210.98
Profound web-enabled archive;Christine Gillespie;1751;89704.82
Fully-configurable bi-directional function;Mr. John Sanders MD;1213;93529.93
Profound value-added conglomeration;Jennifer Cannon;1274;49838.39
User-centric even-keeled workforce;Linda Howell;1210;81320.8
Balanced incremental budgetary management;Eric Smith;1978;1287.84
Function-based background extranet;Laurie David;1854;19534.32
Monitored dedicated success;Mary Taylor;1424;5560.74
Organic composite strategy;Steven Morgan;1912;68247.73
Enterprise-wide disintermediate intranet;Jennifer Foster;1808;30686.88
Devolved 5thgeneration installation;Diana Strickland;1128;66389.8
Ameliorated solution-oriented firmware;Stephen Harvey;1554;42218.11
Polarized fault-tolerant emulation;Robin Smith;1710;47996.88
Re-engineered scalable encryption;Mr. Chad Collins;1213;25527.27
Compatible logistical solution;Michelle Horton;1327;68726.2
Re-contextualized full-range project;Theresa Estrada;1986;3303.31
Enterprise-wide context-sensitive open architecture;Shannon Stephens;1855;5118.96
Front-line even-keeled portal;Victoria Luna;1401;26039.38
Persevering global middleware;Daniel Mullins;1719;18005.86
Synchronized exuding moratorium;John Davis;1613;79733.29
Visionary real-time groupware;Leslie Moore;1761;43688.88
De-engineered heuristic throughput;Eric Martin;1890;69567.77
Programmable contextually-based task-force;Tina Wood;1438;26344.77
Cross-group full-range database;Steven Beltran;1829;79258.8
Extended tertiary product;Christopher Jefferson;1066;55786.11
Persistent modular Local Area Network;Cheryl Hays;1131;81859.74
Compatible attitude-oriented circuit;William Ochoa;1988;79877.48
Profound web-enabled archive;Christine Gillespie;1777;11747.4
Fully-configurable user-facing database;Daniel Mills;1183;80555.71
User-centric web-enabled instruction set;Shannon Neal;1299;82855.3
Future-proofed content-based archive;Cynthia Villa;1570;60470.54
Enhanced reciprocal throughput;Michael Khan;1510;93503.32
Optimized actuating archive;Barbara Johnson;1371;73295.91
Grass-roots exuding parallelism;Christian Gill;1624;65856.36
Front-line transitional benchmark;David Kelly;1465;47040.3
Grass-roots dedicated time-frame;Jim Rivera II;1793;86809.98
Future-proofed demand-driven productivity;Joseph Gentry DDS;1126;81309.16
