id_compra;nombre_pelicula;director;id_sala;id_cine;ts;cuit;cantidad
1001;Proactive context-sensitive approach;Wanda Lawson;959;392;2024-01-06 12:26:14.000;26883834273;7
1002;Universal scalable open architecture;Lisa Lara;167;442;2024-03-06 15:17:14.000;64526497658;4
1003;Up-sized regional open system;Samantha Murphy;170;707;2023-06-11 00:35:02.000;51542697952;8
1004;Versatile interactive concept;Christopher Morris;379;738;2024-03-28 17:11:35.000;46878448705;2
1005;Exclusive eco-centric customer loyalty;Brian Roth;720;240;2022-08-11 17:10:41.000;97083208994;9
1006;Triple-buffered systemic utilization;Mark Castaneda;155;725;2023-05-14 08:07:28.000;18542500591;8
1007;Front-line even-keeled portal;Victoria Luna;895;41;2023-12-13 08:26:52.000;70143775610;7
1008;Down-sized global complexity;Andrew Andrade;780;403;2023-01-11 01:16:08.000;25102724549;8
1009;Multi-layered asynchronous application;Lisa James;486;579;2023-07-21 16:53:41.000;72867809444;7
1010;Horizontal secondary help-desk;Matthew Morris;42;838;2024-01-20 10:20:27.000;70143775610;8
1011;Synchronized multi-state leverage;Mrs. Sarah Rodriguez DDS;790;989;2024-04-03 07:40:58.000;25636699362;9
1012;Switchable methodical emulation;Jill Wong;602;993;2023-06-26 14:19:36.000;15557750294;5
1013;Customer-focused global algorithm;Carol Mendoza;337;957;2024-04-14 21:23:54.000;21554488849;10
1014;Open-architected maximized paradigm;Aaron Lam;590;8;2024-01-25 10:10:23.000;73683047243;2
1015;Right-sized next generation moderator;Charles Golden;703;640;2024-05-18 18:47:32.000;90426137948;5
1016;Sharable user-facing extranet;Lisa Mendoza;818;724;2024-04-04 18:20:14.000;14652889931;4
1017;Quality-focused transitional project;Juan Wells;75;529;2023-11-19 03:27:16.000;51155034710;2
1018;Multi-tiered fresh-thinking toolset;Brenda Chen;595;134;2023-03-12 18:56:47.000;90759357069;10
1019;Assimilated systematic firmware;Nicole Edwards;320;119;2024-04-21 10:13:23.000;60958646548;6
1020;Right-sized dedicated middleware;Rebecca Villa;394;962;2022-10-09 15:30:59.000;51661544402;3
1021;Self-enabling empowering database;Danny Melendez;455;577;2023-05-24 10:02:55.000;87675740187;4
1022;Stand-alone 4thgeneration success;James Brown;158;731;2024-02-26 19:07:31.000;12744283087;7
1023;Assimilated context-sensitive implementation;Mark Watson;444;614;2022-12-07 15:42:12.000;83784247886;5
1024;Expanded national project;Mary Brown;356;651;2022-07-20 10:37:33.000;77990079757;7
1025;Multi-layered asynchronous application;Lisa James;486;579;2023-07-21 16:53:41.000;17793663581;4
1026;Cloned needs-based toolset;Kelli Horne;324;680;2023-12-15 15:03:15.000;11145348901;6
