"id_compra";"nombre_pelicula";"director";"id_sala";"id_cine";"ts";"cuit";"cantidad"
2001;Synergized clear-thinking leverage;Jerome Brady;793;957;2024-02-12 06:31:10.000;56607645940;8
2002;Vision-oriented intangible productivity;Dylan Larson;233;862;2023-11-11 07:00:13.000;93142507314;4
2003;Synergized clear-thinking policy;Michael Butler;259;69;2023-07-06 04:17:34.000;63105097993;7
2004;Seamless explicit Internet solution;Kenneth Gibson;210;313;2024-02-06 05:37:34.000;51784493841;2
2005;Multi-layered mobile moderator;Kimberly Moore;44;246;2023-07-18 23:26:59.000;31144925132;7
2006;Persistent national matrix;Mr. William Mcdonald;377;491;2023-12-05 21:56:40.000;30718569938;5
2007;Grass-roots 4thgeneration approach;Tracey Bell;744;458;2024-04-09 18:51:29.000;98750727204;10
2008;Fully-configurable national throughput;Grace Mcmillan;667;226;2023-12-10 12:19:19.000;31847602654;5
2009;Managed uniform parallelism;Daniel Davis;46;751;2023-11-17 02:56:17.000;21086248759;5
2010;Balanced well-modulated architecture;James Patterson;927;122;2024-04-27 05:27:16.000;44545917775;8
2011;Multi-lateral scalable moratorium;Lori Dominguez;411;980;2023-08-20 19:04:59.000;25503525226;1
2012;Multi-lateral next generation application;John Garcia;785;660;2023-10-20 22:24:30.000;67885097492;2
2013;Multi-lateral next generation application;John Garcia;785;660;2023-10-20 22:24:30.000;63921211689;2
2014;Optimized empowering productivity;Kathryn Allen;831;452;2024-01-28 04:44:31.000;34524273777;9
2015;Centralized modular utilization;Russell Wilkins;901;837;2023-05-13 22:46:35.000;99147311027;8
2016;Multi-channeled zero administration success;John Hudson;56;396;2023-08-24 10:45:30.000;42546198446;6
2017;Diverse background strategy;Miss Katie Smith PhD;474;860;2023-11-30 12:49:43.000;40436234112;8
2018;Persevering zero administration workforce;Joshua Garcia;994;831;2023-05-27 22:30:20.000;79010510168;10
2019;Switchable mobile conglomeration;Kristina Brown;70;448;2024-03-18 21:48:27.000;80126720902;1
2020;Distributed bandwidth-monitored initiative;Tanya Stafford;536;533;2024-02-07 11:52:20.000;75666936078;3
2021;Managed uniform parallelism;Daniel Davis;46;751;2023-11-17 02:56:17.000;36112204620;6
